gid,lon,lat,인구,LISA_I,LISA유형,Gi_z
라라062629,127.56846,34.961404,0,0.0889,LL,-0.422
라라062632,127.568462,34.964109,49,0.0529,HH,1.005
라라062633,127.568463,34.965011,13,-0.0784,LH,1.065
라라062634,127.568464,34.965912,32,-0.0075,LH,0.921
라라062635,127.568464,34.966814,26,-0.0147,LH,0.509
라라062636,127.568465,34.967716,188,0.2292,HH,0.904
라라062637,127.568466,34.968618,247,2.2886,HH,3.94
라라062638,127.568467,34.969519,542,5.5661,HH,4.384
라라062647,127.568473,34.977635,0,0.0734,LL,-0.519
라라062650,127.568476,34.98034,0,0.0572,LL,-0.581
라라062651,127.568476,34.981242,7,0.0438,LL,-0.508
라라062656,127.56848,34.985751,0,0.0889,LL,-0.516
라라062657,127.568481,34.986652,0,0.0889,LL,-0.422
라라062664,127.568486,34.992965,7,0.0578,LL,-0.484
라라062718,127.568527,35.041659,0,0.0889,LL,-0.422
라라062728,127.568534,35.050676,0,0.0674,LL,-0.488
라라062741,127.568544,35.062399,0,0.0,이웃없음,-0.298
라라062765,127.568562,35.08404,0,0.0,이웃없음,-0.298
라라063606,127.569538,34.940663,0,0.0541,LL,-0.382
라라063608,127.569539,34.942466,0,0.0425,LL,-0.363
라라063624,127.569551,34.956894,0,0.0734,LL,-0.519
라라063625,127.569552,34.957796,9,0.06,LL,-0.519
라라063629,127.569555,34.961403,0,0.0889,LL,-0.422
라라063631,127.569557,34.963206,10,-0.0645,LH,0.45
라라063632,127.569557,34.964108,102,0.256,HH,1.293
라라063633,127.569558,34.96501,338,0.4816,HH,1.365
라라063634,127.569559,34.965912,66,0.1,HH,1.071
라라063635,127.56956,34.966813,46,0.0298,HH,0.835
라라063636,127.56956,34.967715,10,-0.1164,LH,1.287
라라063637,127.569561,34.968617,13,-0.3084,LH,3.698
라라063638,127.569562,34.969519,243,3.6245,HH,3.92
라라063646,127.569568,34.976733,0,0.0695,LL,-0.551
라라063647,127.569569,34.977634,7,0.059,LL,-0.551
라라063649,127.56957,34.979438,0,0.0657,LL,-0.48
라라063650,127.569571,34.98034,27,0.017,LL,-0.561
라라063651,127.569572,34.981241,14,0.0398,LL,-0.481
라라063655,127.569575,34.984848,0,0.0811,LL,-0.486
라라063664,127.569582,34.992964,0,0.0721,LL,-0.452
라라063688,127.5696,35.014606,0,0.0,이웃없음,-0.298
라라063708,127.569615,35.032641,6,0.0,이웃없음,-0.246
라라063712,127.569618,35.036248,0,0.0889,LL,-0.516
라라063728,127.569631,35.050675,14,0.0472,LL,-0.488
